EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Liverpool NS,NS,2010-09-04,,,,,,2010-09-04,,,,,,,,200000,
Disaster,Natural,Meteorological - Hydrological,Flood,Meat Cove NS,NS,2010-08-22,0,0,130,,,2010-08-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Williams Lake, Chilcotin, Houston, Burns Lake and Fraser Lake BC",BC,2010-07-28,2,0,,2.20E+08,180154506.4,2010-09-08,,,220000000,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,North Battleford SK,SK,2010-07-22,0,0,45,,,2010-07-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,"Calgary, Alberta",AB,2010-07-12,0,0,0,4.00E+08,327553648.1,2010-07-12,,,,,,400000000,,,
Disaster,Natural,Meteorological - Hydrological,Tornado,Kawacatoose First Nation SK,SK,2010-07-02,0,0,,358000,293160.5,2010-07-02,,,,,358000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Midland ON,ON,2010-06-23,0,12,0,1.60E+07,13102145.9,2010-06-23,,,1000000,,,15000000,,0,0
Disaster,Natural,Geological,Earthquake,Val-des-Bois and Gracefield QC,QC,2010-06-23,0,0,0,,,2010-06-23,,,,,,,,900,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta and Saskatchewan,AB SK,2010-06-17,0,0,2065,956350000,783139828.3,2010-06-17,,,206350000,,750000000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,13km East of Cranberry Portage MB,MB,2010-06-15,0,0,400,,,2010-06-15,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Leamington ON,ON,2010-06-06,0,0,0,1.00E+05,81888.4,2010-06-06,,,100000,,,,,13500,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB,2010-05-29,0,0,619,2200000,1801545.1,2010-05-29,490000,,1710000,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Chapleau ON,ON,2010-05-27,0,0,0,,,2010-05-27,,,,,,,,2000,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Wemotaci reserve and La Tuque QC,QC,2010-05-23,0,0,1300,,,2010-05-23,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,County of Thorhild AB,AB,2010-05-12,0,0,300,1.00E+07,8188841.2,2010-05-12,,,10000000,,,,,0,0
Disaster,Natural,Biological,Epidemic,"Glengarry Hospital, Victoria BC",BC,2010-04-06,10,21,0,,,2010-04-06,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Baie-Verte and Port Elgin NB,NB,2010-01-02,0,0,0,627673,513991.5,2010-01-03,0,0,337716,145954,,144003,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Duncan and North Cowichan (Vancouver Island) BC,BC,2009-11-14,,,1050,,,2009-11-19,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Nova Scotia and New Brunswick,NB NS,2009-10-26,0,0,0,,,2009-10-26,,,,,,,,24000,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Halifax NS,NS,2009-08-23,0,0,0,,,2009-08-23,,,,,,,,40000,0
Disaster,Natural,Meteorological - Hydrological,Tornado,"Toronto, Windsor, Vaughan and Newmarket ON",ON,2009-08-20,1,0,0,,,2009-08-20,,,,,,,,207000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Winnipeg to Steinbach MB,MB,2009-08-14,0,0,0,5.00E+07,41695804.2,2009-08-14,,,,,,50000000,,12000,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Déléage to Mont-Laurier,,2009-08-04,0,0,0,6.00E+06,5003496.5,2009-08-04,,,,,,6000000,,12000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,South-East Alberta,AB,2009-08-02,0,0,0,,,2009-08-02,,,,,,,,9999,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Vancouver and Fraser BC,BC,2009-07-27,134,,,,,2009-08-03,,,,,,,,,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Hamilton and Toronto ON,ON,2009-07-26,0,0,0,,,2009-07-26,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Edmonton area AB,AB,2009-07-18,0,0,0,4500000,3752622.4,2009-07-18,400000,4100000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Kelowna, Kamloops and Cariboo BC",BC,2009-07-18,1,0,20000,7.50E+07,62543706.3,2009-07-18,58000000,1.70E+07,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Notre-Dame-des-Prairies,,2009-06-28,0,0,0,,,2009-07-04,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,"Montreal, Alma, La Tuque and Baie-Saint-Paul QC",QC,2009-05-14,0,0,0,,,2009-05-14,,,,,,,,70000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Rock Creek and Henderson Corner in the Klondike Valley YT,YT,2009-05-01,0,0,28,1400000,1167482.5,2009-05-01,1000000,4.00E+05,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Ottawa, Toronto and Windsor ON",ON,2009-04-25,0,0,0,,,2009-04-25,,,,,,,,300000,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Saint John, Miramichi and Restigouche rivers NB",NB,2009-04-05,0,0,0,2.00E+06,1667832.2,2009-05-04,626000,1374000,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,Across Canada,2009-04-01,425,8582,0,,,2010-02-01,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk MB",MB,2009-03-24,0,0,3000,4.00E+07,33356643.4,2009-05-21,33500000,6500000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Saskatchewan and Alberta,AB SK,2009-03-01,0,0,0,,,2009-03-01,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Vancouver, Fraser Valley and the Greater Vancouver Regional Districts BC",BC,2009-01-06,0,0,0,16500000,13759615.4,2009-01-08,6900000,9600000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Greater Vancouver and Fraser Valley BC,BC,2009-01-06,0,0,0,6900000,5754021,2009-01-08,6900000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Prince Edward Island,PE,2008-12-13,,,,,,2008-12-13,,,,,,,,127283,
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Maritimes provinces,Maritimes,2008-09-29,0,0,0,,,2008-09-29,,,,,,,,37000,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Yarmouth County NS,NS,2008-09-28,,,,,,2008-09-28,,,,,,,,40000,
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Kingston ON,ON,2008-09-15,0,0,0,,,2008-09-15,,,,,,,,,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Saint John NB,NB,2008-09-07,0,0,0,620000,518387.4,2008-09-07,620000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Queens County PE,PE,2008-09-06,0,0,0,1800000,1504995.6,2008-09-07,1800000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Colchester, Pictou, Antigonish, Inverness, Victoria, Cumberland and Halifax NS",NS,2008-08-29,0,0,0,580000,484943,2008-08-31,580000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Eastern Quebec and Northwest New Brunswick,QC NB,2008-08-02,2,0,0,225000,188124.5,2008-08-02,225000,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,Across Canada,2008-08-01,22,57,0,,,0/08/2008  ,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"West of Gander, East to Hare Bay, South to Swift Current NL",NL,2008-07-30,0,0,0,710000,593637.2,2008-07-30,710000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Regina SK,SK,2008-07-22,0,0,0,,,2008-07-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,La Tuque QC,QC,2008-07-22,0,0,115,,,2008-07-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Winnipeg MB,MB,2008-07-11,0,0,0,,,2008-07-11,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Deschambault Lake SK,SK,2008-07-01,0,0,800,,,2008-07-01,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Lethbridge AB,AB,2008-07-01,0,0,0,,,2008-07-01,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northern Saskatchewan,SK,2008-06-30,0,0,2800,,,2008-06-30,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Lanaudière QC,QC,2008-06-29,0,0,0,,,2008-06-29,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Halifax NS,NS,2008-06-13,0,0,5000,,,2008-06-13,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Montérégie and Eastern Townships QC,QC,2008-06-10,0,0,0,,,2008-06-10,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Pukatawagan MB,MB,2008-06-10,0,0,0,,,2008-06-10,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Pangnirtung NU,NU,2008-06-08,0,0,0,4900000,4096932.5,2008-06-09,4900000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Huntingdon QC,QC,2008-05-31,0,0,0,,,2008-05-31,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River NB,NB,2008-05-30,0,0,1000,2.10E+07,17558282.2,2008-05-30,21000000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Norway House and Sherridon MB,MB,2008-05-28,0,0,3330,,,2008-05-28,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,High River AB,AB,2008-05-24,0,0,0,,,2008-05-24,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southwest Alberta,AB,2008-05-21,0,0,0,9400000,7859421.6,2008-05-25,3100000,6300000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Newbrook AB,AB,2008-05-16,0,0,150,,,2008-05-16,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,"South-Central area of Manitoba (Cartier, Grey, Macdonald, Dufferin, Morris, Montcalm)",MB,2008-05-16,0,0,0,450000,376248.9,2008-05-16,450000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,James Bay ON,ON,2008-05-09,0,0,1200,,,2008-05-09,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,NT,2008-05-05,0,0,0,460000,384610,2008-05-06,460000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec City QC,QC,2008-04-29,0,0,335,,,2008-04-29,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Albany River ON,ON,2008-04-25,0,0,1900,,,2008-04-25,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Trent Hills ON,ON,2008-04-17,0,0,0,,,2008-04-17,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Belleville ON,ON,2008-04-14,0,0,0,,,2008-04-14,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Paddockwood SK,SK,2008-04-14,0,0,0,,,2008-04-14,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,New Brunswick,NB,2008-03-21,0,0,0,,,2008-03-21,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Port Bruce ON,ON,2008-02-18,0,0,300,,,2008-02-18,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Saint John NB,NB,2008-02-14,0,0,0,,,2008-02-14,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Prince Edward Island,PE,2008-01-28,0,0,0,,,2008-01-28,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Quebec,QC,00/01/2008  ,0,0,0,,,2008-01-09,,,,,,,,249000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Matane QC,QC,2007-12-17,0,0,275,,,2007-12-17,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince George BC,BC,2007-12-10,0,0,20,7500000,6422800.7,2007-12-10,1600000,5900000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Maritimes provinces,Maritimes,2007-12-04,0,0,0,,,2007-12-04,,,,,,,,50000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Vancouver BC,BC,2007-11-12,0,0,0,,,2007-11-12,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,New Brunswick and Nova Scotia,NB NS,2007-11-04,0,0,0,,,2007-11-04,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Halifax and Lunenburg NS,NS,2007-11-03,0,0,0,2772553.51,2374341.2,2007-11-03,780000,1925958.41,,48319.81,,,18275.29,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Gaspé QC,QC,2007-08-15,0,0,200,11600000,9933931.8,2007-08-15,11600000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Natuashish NL,NL,2007-08-03,0,0,600,,,2007-08-03,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Newfoundland,NL,2007-08-02,0,0,0,,,2007-08-02,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Peninsulas of Avalon, Burin and Bonavista NL",NL,2007-08-01,0,0,0,19400000,16613644.5,2007-08-01,19400000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Kootenay BC,BC,2007-08-01,0,0,9,,,2007-08-01,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,South Indian Lake MB,MB,2007-07-20,0,0,437,,,2007-07-20,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Elie MB,MB,2007-06-22,0,0,0,,,2007-06-22,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB",MB,2007-06-22,0,0,0,650000,556642.7,2007-06-22,650000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Happy Valley - Goose Bay NL,NL,2007-06-17,0,0,600,,,2007-06-17,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Terrace, Smithers & Mount Currie BC",BC,2007-06-05,0,0,375,9600000,8221184.9,2007-06-05,9600000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Calgary, Edmonton, St. Albert, the town of Stony Plain, Parkland County, Two Hills County, Kneehill County, Camrose, and the municipal districts of Rocky View and Bighorn AB",AB,2007-06-05,0,0,0,1.80E+07,15414721.7,2007-06-05,9100000,8900000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Sept-Îles QC,QC,2007-05-27,0,0,1500,,,2007-05-27,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Fishing Lake SK,SK,2007-05-25,0,0,0,,,2007-05-25,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northwest Ontario,ON,2007-05-13,0,0,300,,,2007-05-13,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Fishing Lake SK,SK,2007-04-28,0,0,0,,,2007-04-28,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Gatineau QC,QC,2007-04-23,0,0,0,,,2007-04-23,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Red Earth First Nation SK,SK,2007-04-19,0,0,700,125800000,107731777.4,2007-04-19,125800000,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Daniels Harbour NL,NL,2007-04-15,0,0,0,5300000,4538779.2,2007-04-15,5300000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Selkirk MB,MB,2007-04-03,0,0,120,,,2007-04-03,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Maple Ridge BC,BC,2007-03-12,0,0,0,,,2007-03-12,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Vancouver Island BC,BC,2006-12-20,0,0,0,,,2006-12-20,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Vancouver BC,BC,2006-12-11,0,0,0,,,2006-12-11,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Russell ON,ON,2006-12-01,0,0,0,,,2006-12-02,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Ontario and Quebec,ON QC,2006-10-29,0,0,0,,,2006-10-29,,,,,,,,240000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Joseph et Vallée QC,QC,2006-10-28,0,0,240,,,2006-10-28,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Sainte-Anne-des-Plaines QC,QC,2006-08-19,0,0,600,,,2006-08-19,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cariboo-Chilcotin BC,BC,2006-07-06,0,0,871,,,2006-07-06,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Nordegg AB,AB,2006-07-04,0,0,150,,,2006-07-04,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Tumbler Ridge BC,BC,2006-07-03,0,0,4000,,,2006-07-03,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Mistissini QC,QC,2006-06-16,0,0,3000,,,2006-06-16,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Aklavik NT,NT,2006-05-27,0,0,300,3500000,3060495,2006-05-27,3500000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Slocan River BC,BC,2006-05-20,0,0,159,,,2006-05-20,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Kashechewan ON,ON,2006-04-23,0,0,1100,,,2006-04-23,,,,,,,,0,0
